Date,Cash,Shares,Portfolio_Value
2025-02-20 14:00:00,10000.382521919997,0.0,10000.382521919997
2025-02-20 20:00:00,10025.895855859997,0.0,10025.895855859997
2025-02-21 13:00:00,10043.506211819997,0.0,10043.506211819997
2025-02-21 15:00:00,10046.276593739998,0.0,10046.276593739998
2025-02-21 17:00:00,10092.699463819994,0.0,10092.699463819994
2025-02-24 14:00:00,10164.40034285999,0.0,10164.40034285999
2025-02-24 18:00:00,10185.178224039995,0.0,10185.178224039995
2025-02-24 21:00:00,10187.868115019992,0.0,10187.868115019992
2025-02-25 00:00:00,10198.942688679992,0.0,10198.942688679992
2025-02-25 12:00:00,10202.198333279994,0.0,10202.198333279994
2025-02-25 16:00:00,10275.532160179991,0.0,10275.532160179991
2025-02-26 12:00:00,10295.877700933992,0.0,10295.877700933992
2025-02-26 16:00:00,10326.483841603993,0.0,10326.483841603993
2025-02-26 20:00:00,10334.863012501994,0.0,10334.863012501994
2025-02-27 09:00:00,10354.831541116997,0.0,10354.831541116997
2025-02-27 17:00:00,10404.709808254996,0.0,10404.709808254996
2025-02-28 00:00:00,10434.452225706995,0.0,10434.452225706995
2025-02-28 11:00:00,10442.681603170997,0.0,10442.681603170997
2025-02-28 17:00:00,10445.376500078994,0.0,10445.376500078994
2025-02-28 20:00:00,10540.35838954299,0.0,10540.35838954299
2025-03-03 14:00:00,10546.770385461983,0.0,10546.770385461983
2025-03-03 17:00:00,10565.462090052979,0.0,10565.462090052979
2025-03-03 21:00:00,10622.95336433298,0.0,10622.95336433298
2025-03-04 00:00:00,10695.672916600974,0.0,10695.672916600974
2025-03-04 11:00:00,10704.562424964974,0.0,10704.562424964974
2025-03-04 15:00:00,10764.470786796972,0.0,10764.470786796972
2025-03-04 19:00:00,10811.114466164972,0.0,10811.114466164972
2025-03-04 21:00:00,10832.906517500975,0.0,10832.906517500975
2025-03-05 00:00:00,10854.217370954977,0.0,10854.217370954977
2025-03-05 13:00:00,10865.724444818976,0.0,10865.724444818976
2025-03-05 18:00:00,10983.818300674982,0.0,10983.818300674982
2025-03-05 20:00:00,10992.25929784598,0.0,10992.25929784598
2025-03-06 15:00:00,11051.443864903984,0.0,11051.443864903984
2025-03-06 20:00:00,11084.722270687987,0.0,11084.722270687987
2025-03-07 00:00:00,11100.83605454199,0.0,11100.83605454199
2025-03-07 17:00:00,11209.877751177983,0.0,11209.877751177983
2025-03-07 23:00:00,11245.517687849984,0.0,11245.517687849984
2025-03-10 09:00:00,11255.991471618981,0.0,11255.991471618981
